kp_id,name,subject,stage,grade,tier,score,issue_count,issues,cp_count,deep_count,deep_types,md_chars,exercise_count,error_count,has_real_world,path
bio-m-respiratory-system,呼吸系统,biology,middle,7,A,100,0,,3,4,local_textbook_markdown:4,980,3,2,True,data/kp/biology/bio-m-respiratory-system.json
bio-m-root-tip,根尖结构,biology,middle,7,A,100,0,,4,4,local_textbook_markdown:4,919,3,2,True,data/kp/biology/bio-m-root-tip.json
bio-m-seed-structure,种子结构与萌发,biology,middle,7,A,100,0,,4,4,local_textbook_markdown:4,1136,3,2,True,data/kp/biology/bio-m-seed-structure.json
bio-m-stem-transport,茎的运输作用,biology,middle,7,A,100,0,,3,4,local_textbook_markdown:4,1001,3,2,True,data/kp/biology/bio-m-stem-transport.json
bio-m-tissue-types,组织与器官,biology,middle,7,A,100,0,,3,4,local_textbook_markdown:4,979,3,2,True,data/kp/biology/bio-m-tissue-types.json
bio-m-transpiration,蒸腾作用,biology,middle,7,A,100,0,,3,4,local_textbook_markdown:4,942,3,2,True,data/kp/biology/bio-m-transpiration.json
bio-m-urinary-nervous,泌尿系统,biology,middle,7,A,100,0,,3,4,local_textbook_markdown:4,941,3,2,True,data/kp/biology/bio-m-urinary-nervous.json
chem-h-aluminum-compounds,铝及其化合物,chemistry,high,10,A,100,0,,2,4,local_textbook_markdown:4,1026,3,2,True,data/kp/chemistry/chem-h-aluminum-compounds.json
chem-h-atom-structure-h,原子结构,chemistry,high,10,A,100,0,,3,4,local_textbook_markdown:4,1080,3,2,True,data/kp/chemistry/chem-h-atom-structure-h.json
chem-h-biomolecules,生物大分子（糖/蛋白质/核酸）,chemistry,high,11,A,100,0,,2,4,local_textbook_markdown:4,1305,3,2,True,data/kp/chemistry/chem-h-biomolecules.json
chem-h-chemical-bond,化学键,chemistry,high,10,A,100,0,,2,4,local_textbook_markdown:4,975,3,2,True,data/kp/chemistry/chem-h-chemical-bond.json
chem-h-chemical-equilibrium,化学平衡,chemistry,high,11,A,100,0,,3,4,local_textbook_markdown:4,1071,3,2,True,data/kp/chemistry/chem-h-chemical-equilibrium.json
chem-h-chlorine-compounds,氯及其化合物,chemistry,high,10,A,100,0,,2,4,local_textbook_markdown:4,1057,3,2,True,data/kp/chemistry/chem-h-chlorine-compounds.json
chem-h-corrosion-protection,防腐原理与应用,chemistry,high,11,A,100,0,,3,4,local_textbook_markdown:4,1053,3,2,True,data/kp/chemistry/chem-h-corrosion-protection.json
chem-h-dispersion-system,分散系（溶液/胶体）,chemistry,high,10,A,100,0,,2,4,local_textbook_markdown:4,895,3,2,True,data/kp/chemistry/chem-h-dispersion-system.json
chem-h-electrochemistry,电化学基础,chemistry,high,11,A,100,0,,3,4,local_textbook_markdown:4,1056,3,2,True,data/kp/chemistry/chem-h-electrochemistry.json
chem-h-electrolysis,电解池,chemistry,high,11,A,100,0,,2,4,local_textbook_markdown:4,999,3,2,True,data/kp/chemistry/chem-h-electrolysis.json
chem-h-electrolyte-concept,电解质与非电解质,chemistry,high,10,A,100,0,,3,4,local_textbook_markdown:4,999,3,2,True,data/kp/chemistry/chem-h-electrolyte-concept.json
chem-h-enthalpy-change,焓变与反应热,chemistry,high,11,A,100,0,,2,4,local_textbook_markdown:4,1044,3,2,True,data/kp/chemistry/chem-h-enthalpy-change.json
chem-h-equilibrium-constant,平衡常数,chemistry,high,11,A,100,0,,2,4,local_textbook_markdown:4,1041,3,2,True,data/kp/chemistry/chem-h-equilibrium-constant.json
chem-h-functional-groups,官能团（醇/酚/醛/酸/酯）,chemistry,high,11,A,100,0,,2,4,local_textbook_markdown:4,1172,3,2,True,data/kp/chemistry/chem-h-functional-groups.json
chem-h-galvanic-cell,原电池,chemistry,high,11,A,100,0,,3,4,local_textbook_markdown:4,1126,3,2,True,data/kp/chemistry/chem-h-galvanic-cell.json
chem-h-gas-molar-volume,气体摩尔体积,chemistry,high,10,A,100,0,,2,4,local_textbook_markdown:4,997,3,2,True,data/kp/chemistry/chem-h-gas-molar-volume.json
chem-h-hess-law,盖斯定律,chemistry,high,11,A,100,0,,2,4,local_textbook_markdown:4,1036,3,2,True,data/kp/chemistry/chem-h-hess-law.json
chem-h-hydrocarbon,烃（烷/烯/炔/芳）,chemistry,high,11,A,100,0,,2,4,local_textbook_markdown:4,1146,3,2,True,data/kp/chemistry/chem-h-hydrocarbon.json
chem-h-hydrocarbons,烃类综合,chemistry,high,11,A,100,0,,2,4,local_textbook_markdown:4,1447,3,2,True,data/kp/chemistry/chem-h-hydrocarbons.json
chem-h-ion-identification,离子检验与共存,chemistry,high,10,A,100,0,,3,4,local_textbook_markdown:4,973,3,2,True,data/kp/chemistry/chem-h-ion-identification.json
chem-h-ionic-equation,离子方程式,chemistry,high,10,A,100,0,,2,4,local_textbook_markdown:4,924,3,2,True,data/kp/chemistry/chem-h-ionic-equation.json
chem-h-ionic-reactions-electrolyte,电解质与离子反应综合,chemistry,high,10,A,100,0,,3,4,local_textbook_markdown:4,1015,3,2,True,data/kp/chemistry/chem-h-ionic-reactions-electrolyte.json
chem-h-iron-compounds,铁及其化合物,chemistry,high,10,A,100,0,,2,4,local_textbook_markdown:4,1026,3,2,True,data/kp/chemistry/chem-h-iron-compounds.json
chem-h-le-chatelier,勒夏特列原理,chemistry,high,11,A,100,0,,3,4,local_textbook_markdown:4,1097,3,2,True,data/kp/chemistry/chem-h-le-chatelier.json
